id,full_text_file,lifestage_raw_la,lifestage_raw_pg,lifestage,mapping_note
4,04_kennedy_2014,"rearing (fry, parr)",juvenile salmon between 0+ (summer) and 1+ (summer) age classes,fry,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
4,04_kennedy_2014,"rearing (fry, parr)",juvenile salmon between 0+ (summer) and 1+ (summer) age classes,juvenile_unspecified,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
4,04_kennedy_2014,"rearing (fry, parr)",juvenile salmon between 0+ (summer) and 1+ (summer) age classes,parr,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
6,06_wilbur_2020,"rearing (parr), adults",parr,adult,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
6,06_wilbur_2020,"rearing (parr), adults",parr,parr,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
11,11_naman_2020,rearing,juvenile,juvenile_unspecified,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
12,12_moniz_2021,rearing,rearing fry,fry,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
13,13_roni_2023,rearing,juvenile,juvenile_unspecified,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
14,14_jelovica_2024,"rearing (fry, parr)",juvenile,fry,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
14,14_jelovica_2024,"rearing (fry, parr)",juvenile,juvenile_unspecified,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
14,14_jelovica_2024,"rearing (fry, parr)",juvenile,parr,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
15,15_favrot_2018,rearing (parr),parr,parr,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
16,16_heggenes_1990,rearing (parr),young,juvenile_unspecified,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
16,16_heggenes_1990,rearing (parr),young,parr,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
19,19_wondzell_2007,"all - migration, spawning, rearing (summer, winter)","migration, spawning, summer rearing, winter rearing",adult,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
19,19_wondzell_2007,"all - migration, spawning, rearing (summer, winter)","migration, spawning, summer rearing, winter rearing",juvenile_unspecified,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
20,20_beecher_2002,"rearing (subyearling, yearling)",juvenile,juvenile_unspecified,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
20,20_beecher_2002,"rearing (subyearling, yearling)",juvenile,subyearling,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
20,20_beecher_2002,"rearing (subyearling, yearling)",juvenile,yearling,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
23,23_grantham_2012,rearing,juvenile,juvenile_unspecified,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
24,24_heggenes_1991,rearing (parr),parr,parr,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
26,26_barber_2018,"spawning, rearing, holding","spawning, rearing, holding",adult,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
26,26_barber_2018,"spawning, rearing, holding","spawning, rearing, holding",juvenile_unspecified,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
31,31_fitzgerald_2021,"all - migration, holding, spawning, incubation, emergence, rearing, outmigration","juvenile rearing, outmigration, parr capacity",adult,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
31,31_fitzgerald_2021,"all - migration, holding, spawning, incubation, emergence, rearing, outmigration","juvenile rearing, outmigration, parr capacity",egg,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
31,31_fitzgerald_2021,"all - migration, holding, spawning, incubation, emergence, rearing, outmigration","juvenile rearing, outmigration, parr capacity",fry,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
31,31_fitzgerald_2021,"all - migration, holding, spawning, incubation, emergence, rearing, outmigration","juvenile rearing, outmigration, parr capacity",juvenile_unspecified,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
31,31_fitzgerald_2021,"all - migration, holding, spawning, incubation, emergence, rearing, outmigration","juvenile rearing, outmigration, parr capacity",parr,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
32,32_allen_2000,rearing,juvenile,juvenile_unspecified,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
38,38_ibbotson_1994,unclear,"parr, smolts or young-of-the-year",juvenile_unspecified,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
38,38_ibbotson_1994,unclear,"parr, smolts or young-of-the-year",parr,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
38,38_ibbotson_1994,unclear,"parr, smolts or young-of-the-year",smolt,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
38,38_ibbotson_1994,unclear,"parr, smolts or young-of-the-year",subyearling,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
39,39_bair_2019,rearing,juvenile,juvenile_unspecified,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
40,40_johnson_2008,rearing,"overyearling, subyearling, juvenile",juvenile_unspecified,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
40,40_johnson_2008,rearing,"overyearling, subyearling, juvenile",subyearling,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
40,40_johnson_2008,rearing,"overyearling, subyearling, juvenile",yearling,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
42,42_chalmers_2023e,"immigration, spawning, incubation, fry rearing, juvenile rearing, emigration","immigration, spawning, incubation, fry rearing, juvenile rearing, and emigration",adult,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
42,42_chalmers_2023e,"immigration, spawning, incubation, fry rearing, juvenile rearing, emigration","immigration, spawning, incubation, fry rearing, juvenile rearing, and emigration",egg,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
42,42_chalmers_2023e,"immigration, spawning, incubation, fry rearing, juvenile rearing, emigration","immigration, spawning, incubation, fry rearing, juvenile rearing, and emigration",fry,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
42,42_chalmers_2023e,"immigration, spawning, incubation, fry rearing, juvenile rearing, emigration","immigration, spawning, incubation, fry rearing, juvenile rearing, and emigration",juvenile_unspecified,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
43,43_tullos_2014,rearing,overwintering juvenile,juvenile_unspecified,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
44,44_conallin_2014,spawning,juvenile,adult,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
44,44_conallin_2014,spawning,juvenile,juvenile_unspecified,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
45,45_lacey_2004,rearing,fry,fry,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
47,47_studdert_2015,rearing,"subyearling, yearling",subyearling,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
47,47_studdert_2015,rearing,"subyearling, yearling",yearling,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
50,50_deschênes_2007,rearing (stream residents?),,juvenile_unspecified,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
51,51_naman_2021,rearing (juvenile),juvenile,juvenile_unspecified,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
55,55_mocq_2013,"rearing (young of year, parr), spawning","young-of-the-year, parr, spawning adults",adult,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
55,55_mocq_2013,"rearing (young of year, parr), spawning","young-of-the-year, parr, spawning adults",juvenile_unspecified,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
55,55_mocq_2013,"rearing (young of year, parr), spawning","young-of-the-year, parr, spawning adults",parr,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
55,55_mocq_2013,"rearing (young of year, parr), spawning","young-of-the-year, parr, spawning adults",subyearling,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
58,58_turgeon_2005,rearing (parr),juvenile,juvenile_unspecified,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
58,58_turgeon_2005,rearing (parr),juvenile,parr,"Union of reviewer lifestage fields; only controlled-vocabulary life stages retained, with behavior terms ignored except that spawning maps to adult."
