location_standardized,location_type,n_papers
"Big Jonathan Brook, Quebec, Canada",river,1
"Bolstadbekken, Norway",river,1
"Cains River, New Brunswick, Canada",river,1
"Cascapedia River basin, Quebec, Canada",watershed,1
"Catherine Creek, Oregon, USA",river,1
"Chilliwack River, British Columbia, Canada",river,1
"Coquitlam River, British Columbia, Canada",river,1
"Coyote Creek, California, USA",river,1
Denmark,country,1
"East Stoke Millstream (River Frome), England, UK",river,1
"Eel River, California, USA",river,1
"Gjengedalselva River, Norway",river,1
"Grande Ronde River, Oregon, USA",river,1
"Guadalupe River, California, USA",river,1
"Hart Brook, New York, USA",river,1
"Mill Creek, Oregon, USA",river,1
"Oregon Hatchery Research Center, Oregon, USA",admin_area,1
"River Main, Northern Ireland, UK",river,1
"Romaine River, Quebec, Canada",river,1
"Russian River tributaries, California, USA",watershed,1
"Skagit River, British Columbia, Canada",river,1
"Stevens Creek, California, USA",river,1
"Teno catchment, Finland and Norway",watershed,1
"Touchet River, Washington, USA",river,1
"Trout Brook, New York, USA",river,1
"Upper Grande Ronde River, Oregon, USA",river,1
"Western Washington study streams, Washington, USA",multi_site,1
"Yakima River, Washington, USA",river,1
"Yuba River, California, USA",river,1
